# %ECSV 0.9
# ---
# datatype:
# -
#   name: id
#   datatype: string
# -
#   name: morph
#   datatype: string
# -
#   name: sigma_e
#   datatype: float32
# -
#   name: mdyn
#   datatype: float32
# -
#   name: col5
#   datatype: float32
# -
#   name: col6
#   datatype: float32
# -
#   name: col7_1
#   datatype: float32
# -
#   name: col8
#   datatype: float32
# -
#   name: col9_1
#   datatype: float32
# -
#   name: col10
#   datatype: float32
# -
#   name: col11_1
#   datatype: float32
# -
#   name: mangaid
#   datatype: string
# -
#   name: mstar_cat
#   datatype: string
# -
#   name: sfr_cat
#   datatype: string
# -
#   name: metallicity
#   datatype: string
# -
#   name: b/a
#   datatype: string
# -
#   name: met_re
#   datatype: string
# -
#   name: col7_2
#   datatype: string
# -
#   name: mstar_sum_re
#   datatype: string
# -
#   name: col9_2
#   datatype: string
# -
#   name: sfr_sum_re
#   datatype: string
# -
#   name: col11_2
#   datatype: string
# -
#   name: col12
#   datatype: string
# -
#   name: col13
#   datatype: string
# -
#   name: col14
#   datatype: string
# -
#   name: col15
#   datatype: string
# -
#   name: col16
#   datatype: string
# -
#   name: col17
#   datatype: string
# -
#   name: col18
#   datatype: string
# meta:
#   Description: 
#   |
#    #########################################################################################################################################
#     This is the online data table for the paper Li et. al (2018)
#     "SDSS-IV MaNGA: Global stellar population and gradients for about 2000 early-type and spiral galaxies on the mass-size plane"
#    
#     Table title: Properties of all the galaxies in the sample of Li et al. (2018)
#    #########################################################################################################################################
#      MaNGA ID  | Morphology | logsigma_e | logM_{1/2} | logR_e | logAge |  [Z/H]  | logM^*/L | Delta logAge | Delta [Z/H] | Delta logM^*/L |
#                |            |    km/s    |    M_sun   |   kpc  |  years |         |          |              |             |
#         (1)    |     (2)    |    (3)     |     (4)    |   (5)  |   (6)  |   (7)   |    (8)   |     (9)      |     (10)    |       (11)     |
#    #########################################################################################################################################
#   Match type: 'Pair match; Best match, symmetric'
#   Match algorithm: Exact Value
#   Join Type: 1 and 2 (An output row for each row represented in both input tables (INNER JOIN))
#   First input table: '6: Table-data.dat'
#   Second input table: '5: full_manga.dat'
id morph sigma_e mdyn col5 col6 col7_1 col8 col9_1 col10 col11_1 mangaid mstar_cat sfr_cat metallicity b/a met_re col7_2 mstar_sum_re col9_2 sfr_sum_re col11_2 col12 col13 col14 col15 col16 col17 col18
1-113468 S 2.22 11.21 1.0 9.74 -0.13 0.56 -0.2 -0.12 -0.15 1-113468 10.940275192260742 0.09950755536556244 8.738288288288288 0.15 nan 10.982565993275983 10.85538737906099 -0.5916225646560214 -inf -0.9373595504868175 -inf 10.87225250629349 10.745073892078494 nan nan 9.37668228149414 9.807053565979004
1-113403 S 1.96 10.43 0.84 9.52 -0.24 0.46 0.14 -0.11 -0.01 1-113403 10.560359954833984 -0.0955849215388298 8.75022974782011 0.15 8.75022974782011 10.422837370284494 10.311056478967327 -0.5230908888945582 -0.28880666187766574 0.7510899053330695 0.7510899053330695 10.266037746437712 10.154256855120545 8.767717717717717 8.768768768768767 9.248222351074219 9.5733060836792
1-113651 S 2.13 10.82 0.74 9.61 0.05 0.53 -0.12 -0.18 -0.07 1-113651 10.79518985748291 -0.08528264611959457 8.766466466466467 0.508217 nan 10.797593236063706 10.550905920379137 -0.5789087479697654 -inf -0.4939256268222774 -inf 10.774596687213124 10.527909371528555 nan nan 9.618786811828613 9.957512855529785
1-635503 S 2.01 10.66 0.92 9.19 -0.67 0.38 -0.12 -0.47 -0.04 1-635503 10.833215713500977 0.41783401370048523 8.719648686487176 0.205749 8.754621942203642 10.587022605991171 10.416937581186202 -2.41618764488003 0.18186564909505606 1.5516826493112938 1.1982689665940858 10.121553825222044 9.951468800417075 nan nan 8.73327350616455 9.897050857543945
1-113585 E 2.31 11.17 0.87 9.74 0.11 0.6 -0.01 -0.12 -0.05 1-113585 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 9.877886625756023 9.60756201718153 -9999.0 -9999.0 -9999.0 -9999.0 9.703054946682215 9.432730338107723 -9999.0 -9999.0 -9999.0 -9999.0
1-259091 E 2.04 10.23 0.4 9.66 0.01 0.52 -0.1 0.03 -0.07 1-259091 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 10.288133738706767 9.999788605476931 -9999.0 -9999.0 -9999.0 -9999.0 10.17281187828675 9.884466745056914 -9999.0 -9999.0 -9999.0 -9999.0
1-282665 S 1.88 10.08 0.55 9.68 -0.75 0.56 -0.36 -0.26 -0.12 1-282665 10.010102272033691 -0.6886506080627441 8.539512002709028 0.15 8.543058209724876 9.851898110906744 9.564693765771251 -1.2642455136510102 -1.167642774721464 0.3534496719859082 0.01822102916030394 9.027989369962425 8.740785024826932 nan 8.544544544544543 9.255830764770508 9.923722267150879
1-259058 S 1.78 9.87 0.51 9.08 -0.88 0.33 -0.0 -0.15 -0.05 1-259058 10.126550674438477 0.17802856862545013 8.687516866971793 0.508217 8.704287620954286 9.99705703763734 9.701357802322315 -0.47440293041963083 -0.4195956659186479 1.0435182707542983 0.6001543152974806 9.502529902419637 9.206830667104612 nan 8.716356356356357 8.786334991455078 9.96278190612793
1-259050 S 1.99 10.61 0.79 9.31 -0.59 0.44 -0.45 -0.58 -0.13 1-259050 10.614456176757812 0.5087147355079651 8.633229498760723 0.205749 8.719104470323982 10.45965737026806 10.199377522362656 0.8859361925202622 0.005682092448479907 1.468498321653377 1.0853937543409913 10.31507111950548 10.054791271600077 8.708508508508508 8.711911911911912 8.879267692565918 9.816347122192383
1-620993 S 1.76 10.08 0.83 9.43 -0.52 0.5 -0.91 -0.32 -0.37 1-620993 10.718230247497559 0.4318298101425171 8.728956379547396 0.15 8.753688071273375 10.586358023696402 10.443770512237116 -1.2653395210756797 -0.24672248234772948 1.2604805504471415 0.8515783206486023 10.4988229408038 10.356235429344514 nan nan 9.08925724029541 9.861873626708984
